well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-415
B8,ACR-415
B9,ACR-418
B10,ACR-418
B11,ACR-420
B12,ACR-420
C1,ACR-427
C2,ACR-427
C3,ACR-429
C4,ACR-429
C5,ACR-430
C6,ACR-430
C7,ACR-432
C8,ACR-432
C9,ACR-436
C10,ACR-436
C11,ACR-451
C12,ACR-451
D1,ACR-457
D2,ACR-457
D3,ACR-449
D4,ACR-449
D5,ACR-462
D6,ACR-462
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
