well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-424
B8,ACR-424
B9,ACR-462
B10,ACR-462
B11,ACR-434
B12,ACR-434
C1,ACR-428
C2,ACR-428
C3,ACR-435-419
C4,ACR-435-419
C5,ACR-420
C6,ACR-420
C7,ACR-421
C8,ACR-421
C9,ACR-439
C10,ACR-439
C11,ACR-460
C12,ACR-460
D1,ACR-425
D2,ACR-425
D3,ACR-436
D4,ACR-436
D5,ACR-423
D6,ACR-423
D7,ACR-422
D8,ACR-422
D9,ACR-429
D10,ACR-429
D11,ACR-417
D12,ACR-417
E1,ACR-415
E2,ACR-415
E3,ACR-426
E4,ACR-426
E5,ACR-461
E6,ACR-461
E7,ACR-416
E8,ACR-416
E9,ACR-433
E10,ACR-433
E11,ACR-457
E12,ACR-457
F1,ACR-427
F2,ACR-427
F3,ACR-458
F4,ACR-458
F5,ACR-459
F6,ACR-459
F7,ACR-418
F8,ACR-418
F9,ACR-432
F10,ACR-432
F11,ACR-464
F12,ACR-464
G1,ACR-438
G2,ACR-438
G3,ACR-451
G4,ACR-451
G5,ACR-448
G6,ACR-448
G7,ACR-430
G8,ACR-430
G9,ACR-456
G10,ACR-456
G11,ACR-437
G12,ACR-437
H1,ACR-414
H2,ACR-414
H3,ACR-431
H4,ACR-431
H5,ACR-465
H6,ACR-465
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
