well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-461
B8,ACR-461
B9,ACR-456
B10,ACR-456
B11,ACR-448
B12,ACR-448
C1,ACR-446
C2,ACR-446
C3,ACR-457
C4,ACR-457
C5,ACR-421
C6,ACR-421
C7,ACR-422
C8,ACR-422
C9,ACR-464
C10,ACR-464
C11,ACR-423
C12,ACR-423
D1,ACR-435
D2,ACR-435
D3,ACR-431
D4,ACR-431
D5,ACR-439
D6,ACR-439
D7,ACR-426
D8,ACR-426
D9,ACR-437
D10,ACR-437
D11,ACR-428
D12,ACR-428
E1,ACR-447
E2,ACR-447
E3,ACR-451
E4,ACR-451
E5,ACR-438
E6,ACR-438
E7,ACR-458
E8,ACR-458
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
